mes,año,Total
01,2019,4.705
02,2019,4.245
03,2019,4.56
04,2019,4.699
05,2019,4.786
06,2019,4.631
07,2019,4.958
08,2019,4.744
09,2019,4.699
10,2019,4.826
11,2019,4.556
12,2019,4.332
01,2020,4.605
02,2020,3.994
03,2020,4.43
04,2020,4.347
05,2020,4.686
06,2020,4.541
07,2020,4.705
08,2020,4.612
09,2020,4.664
10,2020,4.583
11,2020,3.919
12,2020,3.271
01,2021,3.507
02,2021,3.602
03,2021,4.475
04,2021,4.165
05,2021,4.265
06,2021,4.437
07,2021,4.798
08,2021,4.487
09,2021,4.654
10,2021,4.382
11,2021,4.299
12,2021,4.295
01,2022,4.291
02,2022,3.907
03,2022,4.329
04,2022,4.152
05,2022,4.41
06,2022,4.642
07,2022,4.508
08,2022,4.423
09,2022,4.439
10,2022,4.513
11,2022,4.461
12,2022,4.307
