Fecha;NMT;Situaciï¿½n;Ld;Le;Ln;LAeq24;LAS01;LAS10;LAS50;LAS90;LAS99;Nombre
ene-19;1;Paseo de Recoletos;68,5;68,5;65,5;67,8;74,5;71,3;64,9;56,9;49;
ene-19;2;Carlos V;69,9;69,4;66,5;68,9;75,5;71;67,4;60,7;54;
ene-19;3;Plaza del Carmen;62,7;60,6;60,9;61,8;69,9;63,7;57,5;51,6;49,1;
ene-19;4;Plaza de Espaï¿½a;65,5;65,3;61,4;64,5;72,5;66,7;62,8;55,5;47,9;
ene-19;5;Barrio del Pilar;61,6;63,3;57,2;61;67,2;62,8;58;47;43,1;
ene-19;6;Gregorio Maraï¿½ï¿½n;71,5;71,5;66,9;70,5;77,7;74;67,2;59,4;51,8;
ene-19;8;Escuelas Aguirre;67;66,5;64,5;66,2;73;69;64,3;55,1;44,6;
ene-19;10;Cuatro Caminos;66;65,3;60;64,6;72,9;68,2;60,4;48,2;41,2;
ene-19;11;Ramï¿½n y Cajal;69,6;68,6;64,6;68,3;74,4;71,3;66,3;51,6;40,1;
ene-19;12;Plaza Manuel Becerra;64,3;64;65,5;64,7;70,7;64,7;60,7;52,7;45,3;
ene-19;13;Vallecas;59,3;59,1;61,6;60,2;65,7;60,7;54,1;42,5;37,6;
ene-19;14;Glorieta Fdez. Ladreda;65,2;64,7;60,5;N/D;N/D;N/D;N/D;N/D;N/D;
ene-19;16;Arturo Soria;62,4;61,7;57;61,1;67,8;64,8;58,9;42,4;36,2;
ene-19;17;Villaverde;58;58,5;63,8;60,9;65,5;58,3;52,2;43,1;37,9;
ene-19;18;Farolillo;57,8;58,2;74,4;69,7;66,1;58,5;50,9;42,5;37,8;
ene-19;19;Alto Extremadura;61,3;60,3;59,6;60,6;67,6;62,7;56,3;46,3;38,6;
ene-19;20;Avda de Moratalaz;62,1;60,7;58,1;60,9;68,5;62,4;57,3;44,8;39,1;
ene-19;24;Casa de Campo;50,9;48,2;46,1;49,3;59,1;51,6;45,5;39,8;37,2;
ene-19;25;Santa Eugenia;66,9;66,8;62,2;65,8;70,9;68;65,5;58;49,4;
ene-19;26;Embajada;61,8;61,1;61,8;61,7;67,4;63,9;58,2;51,4;44,6;
ene-19;27;Barajas Pueblo;63,2;63,6;59,2;62,3;72,6;66,2;55;44,3;37,9;
ene-19;28;Cuatro Vientos;68,8;67,4;62,5;67,2;75,5;71,7;61,6;43,5;37,7;
ene-19;29;El Pardo;58,5;55,7;50,8;56,6;65,6;60,9;51,4;36,4;32,1;
ene-19;30;Campo de las Naciones;62,3;67,7;55,3;62,8;68,1;62,8;57,1;45,4;40,1;
ene-19;31;Sanchinarro;64,2;64,6;54,4;62,8;72,6;67,7;55,2;42,7;30;
ene-19;47;Mï¿½ndez ï¿½lvaro;56,9;60,9;58,9;58,5;66,5;55,6;47,9;40,6;36,3;
ene-19;48;Castellana;63,4;63,4;59;62,3;68,7;65,5;60,9;53;45,8;
ene-19;50;Pza de Castilla;66,7;66,2;62;65,5;71,8;67,4;63,4;55,4;48,5;
ene-19;54;Ensanche de Vallecas;61,8;61,6;58,5;60,9;67,4;64;58,8;44,9;38,8;
ene-19;55;Urbanizaciï¿½n Embajada II;58;56,4;52,5;56,6;64,5;59,3;52,4;44,9;40,6;
ene-19;86;Tres Olivos;58,5;57,2;55,7;57,5;66,8;60,7;51,4;38,8;36,1;
feb-19;1;Paseo de Recoletos;68,5;68,1;65,6;67,6;73,8;70,9;64,9;57,2;49,3;
feb-19;2;Carlos V;70,2;69,5;66,4;69;75,5;70,9;67,4;61,1;54,8;
feb-19;3;Plaza del Carmen;65;61;60,1;63,3;71,6;63,8;57,6;51,5;48,2;
feb-19;4;Plaza de Espaï¿½a;65,7;65,4;61,3;64,6;72,6;66,8;63,2;55,8;48,7;
feb-19;5;Barrio del Pilar;61,9;60,6;54,2;60,2;68,5;62,8;58,1;47,8;44,1;
feb-19;6;Gregorio Maraï¿½ï¿½n;71,8;71;66,9;70,5;77,6;73,8;67,4;59,7;51,3;
feb-19;8;Escuelas Aguirre;67,3;66,5;63,4;66,2;73;69,2;64,4;55,8;44,4;
feb-19;10;Cuatro Caminos;66,1;64,8;59,3;64,5;72,8;68,1;60,4;48,2;40,8;
feb-19;11;Ramï¿½n y Cajal;69,6;68,5;62,8;68,1;74,2;71,1;66,4;51,6;40,1;
feb-19;12;Plaza Manuel Becerra;65,2;63,8;58,7;63,6;71,5;64,9;60,9;52,8;45,4;
feb-19;13;Vallecas;58,8;58,3;52;57,4;65;60,5;53,9;42;38;
