mes,año,Total
01,2019,4705
02,2019,4245
03,2019,4560
04,2019,4699
05,2019,4786
06,2019,4631
07,2019,4958
08,2019,4744
09,2019,4699
10,2019,4826
11,2019,4556
12,2019,4332
01,2020,4605
02,2020,3994
03,2020,4430
04,2020,4347
05,2020,4686
06,2020,4541
07,2020,4705
08,2020,4612
09,2020,4664
10,2020,4583
11,2020,3919
12,2020,3271
01,2021,3507
02,2021,3602
03,2021,4475
04,2021,4165
05,2021,4265
06,2021,4437
07,2021,4798
08,2021,4487
09,2021,4654
10,2021,4382
11,2021,4299
12,2021,4295
01,2022,4291
02,2022,3907
03,2022,4329
04,2022,4152
05,2022,4410
06,2022,4642
07,2022,4508
08,2022,4423
09,2022,4439
10,2022,4513
11,2022,4461
12,2022,4307
