mes,año,contam_media
01,2019,62.7
02,2019,61.9
03,2019,61.7
04,2019,61.6
05,2019,61.0
06,2019,60.9
07,2019,60.8
08,2019,60.1
09,2019,61.3
10,2019,61.9
11,2019,61.8
12,2019,62.2
01,2020,62.3
02,2020,61.2
03,2020,59.5
04,2020,57.3
05,2020,58.7
06,2020,60.0
07,2020,60.3
08,2020,59.4
09,2020,60.2
10,2020,60.8
11,2020,60.9
12,2020,60.7
01,2021,60.2
02,2021,60.6
03,2021,60.2
04,2021,60.5
05,2021,60.2
06,2021,60.5
07,2021,60.0
08,2021,59.1
09,2021,60.3
10,2021,60.2
11,2021,60.7
12,2021,60.8
01,2022,60.6
02,2022,60.1
03,2022,61.9
04,2022,61.2
05,2022,60.7
06,2022,60.6
07,2022,60.6
08,2022,59.5
09,2022,61.3
10,2022,61.3
11,2022,62.4
12,2022,62.0
